segment_id,lat,lon,junction_cluster,junction_id
1285520202807869440,28.63437,77.25296,72,J72
1285520202813997058,28.62838,77.25103,73,J73
1285520202813997060,28.62736,77.2501,74,J74
1285520202813997062,28.62728,77.24894,75,J75
1285520202815078400,28.62845,77.27805,52,J52
1285520202821009408,28.62927,77.2518,5,J5
1285520202831364096,28.62935,77.2467,76,J76
1285520202831396864,28.63073,77.24671,77,J77
1285520202832379906,28.62663,77.24694,78,J78
1285520202832379910,28.62575,77.24699,31,J31
1285520202832379912,28.62539,77.24708,31,J31
1285520202847027202,28.62852,77.26769,79,J79
1285520202847027204,28.63036,77.27103,80,J80
1285520202851287042,28.62823,77.27097,81,J81
1285520202851287044,28.62823,77.27193,69,J69
1285520202851549184,28.62962,77.25195,5,J5
1285520202853679104,28.62922,77.25188,5,J5
1285520202853744646,28.62346,77.27634,10,J10
1285520202853744648,28.62347,77.27633,10,J10
1285520202853744652,28.62205,77.27727,30,J30
1285520202855481344,28.62959,77.25207,5,J5
1285520202862231552,28.62997,77.25204,82,J82
1285520202874814466,28.62353,77.27643,10,J10
1285520202874814474,28.62332,77.27657,10,J10
1285520202875404288,28.62835,77.27132,83,J83
1285520202881597440,28.62842,77.27348,58,J58
1285520202883006466,28.62812,77.25015,84,J84
1285520202883006468,28.62811,77.25108,73,J73
1285520202883006470,28.62813,77.25214,85,J85
1285520202883006472,28.62814,77.25561,86,J86
1285520202883006474,28.62816,77.25934,87,J87
1285520202883006476,28.62816,77.25972,88,J88
1285520202886971392,28.62891,77.27772,18,J18
1285520202887004160,28.62852,77.27807,52,J52
1285520202896801798,28.63482,77.25482,89,J89
1285520202896801800,28.635,77.25573,90,J90
1285520202896801802,28.63654,77.25646,91,J91
1285520202903257088,28.63437,77.25307,72,J72
1285520202904600578,28.62921,77.27269,92,J92
1285520202904600580,28.62904,77.27147,93,J93
1285520202905419778,28.62792,77.25933,94,J94
1285520202905419780,28.62791,77.25693,95,J95
1285520202905419782,28.62792,77.2535,96,J96
1285520202905419784,28.628,77.25234,85,J85
1285520202905419786,28.62803,77.25154,97,J97
1285520202905419788,28.62807,77.24983,56,J56
1285520202906304512,28.62803,77.26944,38,J38
1285520202917675008,28.62996,77.25215,82,J82
1285520202944086018,28.62822,77.26059,42,J42
1285520202944086020,28.62822,77.2668,98,J98
1285520202947559424,28.62762,77.27192,99,J99
1285520202951065600,28.62754,77.24963,100,J100
1285520202951589890,28.62977,77.27694,57,J57
1285520202951589892,28.62948,77.27719,101,J101
1285520202951622656,28.62924,77.27742,18,J18
1285520202951655424,28.62911,77.27753,18,J18
1285520202951688192,28.62906,77.27758,18,J18
1285520202954178560,28.62934,77.26994,102,J102
1285520202981900288,28.62926,77.27282,92,J92
1285520203107893248,28.63324,77.24713,103,J103
1285520203109793794,28.63063,77.27753,104,J104
1285520203109793796,28.63077,77.27773,104,J104
1285520203109793798,28.63079,77.27779,104,J104
1285520203110481920,28.63224,77.24726,33,J33
1285520203110514688,28.63206,77.24726,33,J33
1285520203128406016,28.62976,77.27667,57,J57
1285520203131027456,28.62989,77.2769,57,J57
1285520203131387904,28.62998,77.27693,57,J57
1285520203138695168,28.63457,77.26996,105,J105
1285520203142496258,28.62898,77.26133,106,J106
1285520203142496259,28.62898,77.26133,106,J106
1285520203142496260,28.62955,77.26376,107,J107
1285520203142496261,28.62955,77.26376,107,J107
1285520203142922240,28.62822,77.26055,42,J42
1285520203145805824,28.62471,77.24724,108,J108
1285520203145838592,28.62352,77.2476,109,J109
1285520203147476994,28.6282,77.25014,84,J84
1285520203147476996,28.62819,77.25108,73,J73
1285520203147476998,28.62823,77.25213,85,J85
1285520203147509762,28.62822,77.25336,110,J110
1285520203147509764,28.62822,77.25561,86,J86
1285520203147509766,28.62822,77.25933,87,J87
1285520203147509768,28.62822,77.25973,88,J88
1285520203148263424,28.62298,77.24762,111,J111
1285520203148296194,28.62403,77.24733,112,J112
1285520203148296196,28.62509,77.24704,31,J31
1285520203158847488,28.63112,77.24722,113,J113
1285520203193122816,28.62812,77.24539,114,J114
1285520203193155584,28.62815,77.24592,114,J114
1285520203216814080,28.63077,77.25208,16,J16
1285520203216846848,28.63087,77.25208,16,J16
1285520203264786432,28.63232,77.24672,17,J17
1285520203264819202,28.63381,77.24671,115,J115
1285520203277697024,28.63507,77.25037,116,J116
1285520203277729792,28.63508,77.24901,117,J117
1285520203277762560,28.63508,77.24887,117,J117
1285520203277795328,28.63496,77.24739,118,J118
1285520203277828096,28.63407,77.2473,119,J119
1285520203277860864,28.63391,77.2473,119,J119
1285520203277893632,28.63357,77.24729,120,J120
1285520203277926400,28.63317,77.24728,103,J103
1285520203277959168,28.63269,77.24727,121,J121
1285520203277991936,28.63238,77.24726,33,J33
1285520203307319308,28.63704,77.2568,122,J122
1285520203307319310,28.63489,77.25586,90,J90
1285520203307319312,28.63468,77.25493,89,J89
1285520203307319314,28.63517,77.25282,12,J12
1285520203307319316,28.6352,77.25165,123,J123
1285520203307319318,28.6352,77.24972,124,J124
1285520203307319320,28.63522,77.24813,125,J125
1285520203307319322,28.63512,77.24739,118,J118
1285520203308400642,28.63561,77.24705,60,J60
1285520203308400644,28.63534,77.24708,118,J118
1285520203329404930,28.63188,77.24688,126,J126
1285520203329404932,28.63082,77.24689,77,J77
1285520203329667074,28.62966,77.24727,127,J127
1285520203329667076,28.62928,77.24832,128,J128
1285520203329667078,28.62848,77.24886,129,J129
1285520203330551808,28.63104,77.24723,113,J113
1285520203330551809,28.63082,77.24689,77,J77
1285520203343069184,28.63104,77.24723,113,J113
1285520203344445440,28.62824,77.24708,15,J15
1285520203802017792,28.62803,77.24571,114,J114
1285520203802050560,28.62802,77.24547,114,J114
1285520203802083328,28.62801,77.24538,114,J114
1285520203806212096,28.6342,77.26999,130,J130
1285520203806212097,28.6342,77.2701,130,J130
1285520203818598402,28.62523,77.247,31,J31
1285520203818598404,28.62736,77.24681,28,J28
1285520203818598406,28.6284,77.24681,0,J0
1285520203818598408,28.63076,77.24679,77,J77
1285520203818598410,28.63077,77.24678,77,J77
1285520203818762242,28.63076,77.24689,77,J77
1285520203818762244,28.63075,77.24689,77,J77
1285520203818958850,28.63246,77.24683,17,J17
1285520203818958852,28.63267,77.24689,17,J17
1285520203818958854,28.63382,77.24701,131,J131
1285520203818958856,28.63514,77.24719,118,J118
1285520203818958858,28.63533,77.24973,124,J124
1285520203818958860,28.63533,77.25193,63,J63
1285520203818958862,28.63532,77.25282,12,J12
1285520203852906496,28.62999,77.27688,57,J57
1285520203853201408,28.62984,77.27686,57,J57
1285520203853463552,28.62978,77.27656,57,J57
1285520203903565828,28.6304,77.27749,132,J132
1285520203903565830,28.63023,77.27724,19,J19
1285520203903565832,28.63005,77.27698,57,J57
1285520203938234370,28.62835,77.24807,7,J7
1285520203938234372,28.62843,77.24825,7,J7
1285520203938267138,28.62898,77.24841,133,J133
1285520203938267140,28.62934,77.2474,134,J134
1285520204115574784,28.63547,77.25289,12,J12
1285520204115574785,28.63547,77.25289,12,J12
1285520204115607552,28.63766,77.2527,135,J135
1285520204115607553,28.63699,77.25268,136,J136
1285520204142542848,28.62294,77.24778,111,J111
1285520204142575616,28.62102,77.24841,137,J137
1285520204148211712,28.63338,77.2702,138,J138
1285520204148244480,28.63199,77.27105,139,J139
1285520204188057600,28.63229,77.25269,140,J140
1285520204188090368,28.63308,77.2529,141,J141
1285520204202573824,28.63164,77.25251,142,J142
1285520204202573825,28.63166,77.25242,142,J142
1285520204204244992,28.63092,77.25209,16,J16
1285520204204277760,28.63098,77.25213,16,J16
1285520204204310528,28.63152,77.25236,142,J142
1285520204204343296,28.63166,77.25242,142,J142
1285520204211060736,28.63286,77.25297,143,J143
1285520204228395008,28.63093,77.25224,16,J16
1285520204235636736,28.62877,77.275,144,J144
1285520204235767808,28.62915,77.27529,145,J145
1285520204235997184,28.62856,77.27436,146,J146
1285520204236226560,28.6289,77.2749,144,J144
1285520204236226561,28.62877,77.275,144,J144
1285520204236587008,28.62873,77.27493,144,J144
1285520204236619776,28.62845,77.27454,146,J146
1285520204238880768,28.62973,77.27686,57,J57
1285520204239339520,28.63486,77.26993,147,J147
1285520204240388096,28.63603,77.27002,148,J148
1285520204241600512,28.62993,77.2768,57,J57
1285520204243959810,28.63091,77.27128,149,J149
1285520204243959812,28.63293,77.27007,150,J150
1285520204245827586,28.62941,77.2757,21,J21
1285520204245827588,28.62968,77.27611,151,J151
1285520204245827590,28.62986,77.2764,57,J57
1285520204245827592,28.62997,77.27656,57,J57
1285520204248088584,28.63815,77.26962,152,J152
1285520204248088586,28.63495,77.26992,147,J147
1285520204248580096,28.63616,77.2696,153,J153
1285520204249825282,28.63516,77.26976,154,J154
1285520204249825284,28.63814,77.26945,152,J152
